# This is a list which coheres to the image data used in the main program.
# Format: ["variable_name", "image_name", size_x, size_y] #NOTE: [Do Not leave last line of notepad empty!]

male2_Gender2,MaleGender2,24,24
female2_Gender2,FemaleGender2,24,24
male2_Gender3,MaleGender2,24,24
female2_Gender3,FemaleGender2,24,24
male2_Gender4,MaleGender2,24,24
female2_Gender4,FemaleGender2,24,24
red2_Colour,RedColour2,24,24
blue2_Colour,BlueColour2,24,24
green2_Colour,GreenColour2,24,24
yellow2_Colour,YellowColour2,24,24
red2_Colour2,RedColour2,24,24
blue2_Colour2,BlueColour2,24,24
green2_Colour2,GreenColour2,24,24
yellow2_Colour2,YellowColour2,24,24
red2_Colour3,RedColour2,24,24
blue2_Colour3,BlueColour2,24,24
green2_Colour3,GreenColour2,24,24
yellow2_Colour3,YellowColour2,24,24
red2_Colour4,RedColour2,24,24
blue2_Colour4,BlueColour2,24,24
green2_Colour4,GreenColour2,24,24
yellow2_Colour4,YellowColour2,24,24
two_Player_Label,TwoPlayersButton,24,24
three_Player_Label,ThreePlayersButton,24,24
four_Player_Label,FourPlayersButton,24,24
two_Player_Label2,TwoPlayersButton2,24,24
three_Player_Label2,ThreePlayersButton2,24,24
four_Player_Label2,FourPlayersButton2,24,24
colours_Error_Info,ColourErrorInfo,307,200
colours_Error_Info2,ColourErrorInfoSpecial,307,200
theme_Info,ThemeInfo,307,200
boards_Info,BoardsInfo,307,200
music_Info,MusicInfo,307,200
mode_Info,ModeInfo,307,200
stats_Info,StatsInfo,307,200
card_Select_Error,CardSelectError,307,200
roll_Error,RollError,307,200
next_Button,NextButton,220,80
next_Button_Expanded,NextButton2,242,88
skip_Button,SkipButton,220,80
skip_Button_Expanded,SkipButton2,242,88
finish_Button,FinishButton,220,80
finish_Button_Expanded,FinishButton2,242,88
tut_Page1,TutPage1,307,200
tut_Page2,TutPage2,307,200
tut_Page3,TutPage3,307,200
tut_Page4,TutPage4,307,200
tut_Page5,TutPage5,307,200
snakes_Bridge,SnakesAndLaddersBridge,1100,605
snakes_Bridge2,SnakesAndLaddersBridge2,1100,605
battleships_Bridge,BattleshipsBridge,1100,605
battleships_Bridge2,BattleshipsBridge2,1100,605
memory_Bridge,MemoryBridge,1100,605
memory_Bridge2,MemoryBridge2,1100,605
about_Bridge,AboutBridge,1100,605
about_Bridge2,AboutBridge2,1100,605
settings_Bridge,SettingsBridge,1100,605
settings_Bridge2,SettingsBridge2,1100,605
loading1,Loading1,1100,605
loading2,Loading2,1100,605
loading3,Loading3,1100,605
loading4,Loading4,1100,605
icon_snake,iconSnake,64,64
icon_bridge,iconBridge,64,64
icon_ship,iconShip,64,64
icon_memory,iconAngel,64,64
